# SUBTLEX-US word frequencies — the 20,000 most frequent surface forms.
#
# Brysbaert, M., & New, B. (2009). Moving beyond Kučera and Francis: A critical
# evaluation of current word frequency norms and the introduction of a new and
# improved word frequency measure for American English. Behavior Research
# Methods, 41(4), 977–990. https://doi.org/10.3758/BRM.41.4.977
#
# Corpus: 51 million words of American English film and television subtitles.
# Obtained through the ISC-licensed repackaging words/subtlex-word-frequencies
# (github.com/words/subtlex-word-frequencies, commit 1b16b4c, 2020-02-13), which
# keeps the Word and FREQcount columns of SUBTLEXus74286wordstextversion.txt.
# The authors permit redistribution of SUBTLEX-US for any purpose. This file is
# that list sorted by count, truncated to the first 20,000 rows, on 2026-09-12.
#
# Columns: rank, word, count. A word is capitalized when the corpus more often
# capitalizes it than not ("I", "Mr", "Congratulations"). Contraction fragments
# ("s", "t", "don") are present because the source splits on apostrophes.
# Surface forms, not lemmas. Generated — do not edit by hand.
1	you	2134713
2	I	2038529
3	the	1501908
4	to	1156570
5	s	1057301
6	a	1041179
7	it	963712
8	t	733338
9	that	719677
10	and	682780
11	of	590439
12	What	501965
13	in	498444
14	me	471339
15	is	459663
16	we	459607
17	this	406915
18	he	389497
19	on	354742
20	for	351650
21	my	344899
22	m	343245
23	your	328715
24	don	321085
25	have	314232
26	do	312915
27	re	311072
28	No	304549
29	be	293085
30	know	291780
31	was	288391
32	not	276673
33	can	267620
34	are	265672
35	all	263255
36	with	257465
37	just	242206
38	get	233772
39	here	230788
40	but	225291
41	ll	224097
42	there	221754
43	so	216452
44	they	209250
45	right	204428
46	like	203947
47	out	197131
48	go	193445
49	she	190377
50	up	187170
51	about	185206
52	if	180610
53	him	177710
54	got	168631
55	Oh	167781
56	at	164072
57	now	163333
58	Come	160190
59	one	156684
60	How	155867
61	Well	152523
62	Yeah	152262
63	her	144627
64	want	140718
65	think	137261
66	good	133117
67	see	130393
68	Let	123381
69	did	119410
70	Why	114687
71	who	113370
72	as	113068
73	his	108364
74	will	108306
75	going	108288
76	from	103992
77	when	103739
78	back	102467
79	Okay	102320
80	Yes	101835
81	gonna	101804
82	d	101335
83	time	99890
84	look	99311
85	take	96443
86	an	95071
87	man	94133
88	Where	93341
89	them	90720
90	would	90162
91	been	88573
92	some	88089
93	Hey	88079
94	tell	87949
95	or	86970
96	us	86478
97	had	85472
98	were	84804
99	say	83629
100	could	83109
101	didn	80623
102	something	76508
103	really	76508
104	down	76004
105	then	75966
106	little	73766
107	way	72661
108	our	71425
109	make	70775
110	too	69950
111	never	69490
112	by	68364
113	over	67488
114	more	66228
115	need	66040
116	mean	63443
117	very	63304
118	off	60155
119	Mr	60098
120	sorry	59566
121	give	59559
122	has	57830
123	Thank	56877
124	love	56864
125	said	56531
126	am	56438
127	people	56252
128	please	56149
129	sure	56091
130	any	56068
131	thing	55522
132	only	55269
133	because	54622
134	two	54384
135	should	54159
136	doing	52492
137	much	49636
138	sir	49188
139	Maybe	47249
140	help	46977
141	anything	46270
142	these	46104
143	God	46061
144	even	44672
145	night	44168
146	call	43931
147	talk	43605
148	nothing	43534
149	into	43074
150	first	42869
151	find	42379
152	wait	42343
153	put	42251
154	great	41864
155	thought	41232
156	day	40893
157	work	40699
158	life	40629
159	before	40501
160	better	40494
161	again	40428
162	still	40225
163	home	39491
164	guy	38893
165	won	38729
166	those	38404
167	than	37679
168	around	37573
169	other	37505
170	away	37276
171	new	36913
172	last	36878
173	uh	36579
174	ever	36170
175	stop	36071
176	keep	35846
177	told	35679
178	must	35661
179	things	35337
180	big	34824
181	after	34812
182	long	34433
183	does	34002
184	always	33418
185	their	33413
186	everything	33399
187	nice	33125
188	name	32735
189	money	32679
190	doesn	32435
191	guys	32198
192	feel	31989
193	believe	31882
194	Thanks	31789
195	old	31056
196	place	30736
197	fine	30502
198	kind	30125
199	isn	29886
200	Hello	29857
201	lot	29066
202	years	29003
203	made	28626
204	leave	28596
205	Hi	28464
206	girl	28413
207	hear	28323
208	father	28279
209	through	28026
210	every	28007
211	bad	27804
212	Listen	27784
213	remember	27666
214	three	27654
215	boy	27021
216	coming	26878
217	wrong	26678
218	might	26334
219	stay	26298
220	house	26214
221	may	26080
222	baby	25978
223	another	25970
224	Ok	25928
225	Dad	25870
226	gotta	25852
227	wanna	25796
228	wanted	25616
229	enough	25568
230	talking	25385
231	happened	24994
232	show	24906
233	course	24848
234	being	24781
235	care	24748
236	done	24737
237	getting	24719
238	mind	24715
239	left	24707
240	ask	24640
241	car	24636
242	understand	24605
243	mother	24476
244	which	24339
245	try	24314
246	shit	24207
247	hell	24012
248	Miss	23850
249	came	23650
250	wouldn	23628
251	own	23419
252	world	23216
253	guess	23153
254	next	23090
255	kill	23081
256	else	22907
257	dead	22898
258	trying	22849
259	someone	22752
260	real	22583
261	room	22415
262	morning	22389
263	huh	22350
264	hold	22273
265	ain	22248
266	woman	22166
267	yourself	22151
268	today	22124
269	looking	22066
270	wasn	21984
271	Mom	21950
272	friend	21384
273	move	21325
274	same	21276
275	job	21063
276	tonight	21047
277	went	20987
278	son	20949
279	best	20623
280	saw	20527
281	found	20196
282	pretty	20003
283	ready	19778
284	heard	19775
285	whole	19660
286	seen	19633
287	together	19553
288	fuck	19307
289	minute	19252
290	men	19011
291	head	18947
292	matter	18900
293	haven	18844
294	knew	18817
295	Excuse	18773
296	many	18331
297	idea	18311
298	without	18087
299	play	18081
300	family	18067
301	meet	17966
302	most	17889
303	run	17878
304	while	17821
305	wife	17795
306	once	17589
307	live	17574
308	somebody	17571
309	everybody	17555
310	used	17551
311	use	17536
312	myself	17470
313	took	17454
314	yet	17428
315	start	17345
316	called	17341
317	couldn	17336
318	kid	17299
319	tomorrow	17134
320	happy	16993
321	school	16989
